name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
pkgsRocm.python3Packages.pymanopt,324575799,,,
pkgsRocm.python3Packages.torchao,324575880,,,
pkgsRocm.python3Packages.torchdata,324575886,,,
plasma5Packages.libcommuni,,,,324576275
plasma5Packages.maplibre-gl-native,,324576303,,
plasma5Packages.maplibre-native-qt,324576309,324576307,,
plasma5Packages.phonon,,,324576316,324576310
podofo_0_10,,,324577174,324577171
pokefinder,,324577227,,
postgresql14Packages.apache_datasketches,324577519,324577522,,
postgresql15Packages.apache_datasketches,324577782,324577771,,
postgresql16Packages.apache_datasketches,324578038,,,
postgresql17Packages.apache_datasketches,,324578276,,
postgresql18Packages.apache_datasketches,,324578533,,
professor,324579532,324579586,,
proxysql,,324580297,,
pvsneslib,,324580718,,
python313Packages.adb-enhanced,,324581163,,
python313Packages.aerosandbox,324581454,,,
python313Packages.affinegap,324581252,,,
python313Packages.amazon-ion,324582325,,,
python313Packages.angr,324582383,324582379,,
python313Packages.apipkg,,324582574,,
python313Packages.arch,324582734,,,
python313Packages.asf-search,,324582942,,
python313Packages.autopxd2,,324583360,,
python313Packages.ax-platform,,324584388,,
python313Packages.bayespy,,324584256,,
python313Packages.bezier,324584493,,,
python313Packages.biopandas,,324584587,,
python313Packages.borb,,324584879,,
python313Packages.brian2,,324584998,,
python313Packages.certbot-nginx,324585504,324585501,,
python313Packages.clickhouse-cityhash,324585928,324585931,,
python313Packages.conda-libmamba-solver,324586433,324586431,,
python313Packages.connect-box,,324586508,,
python313Packages.coq-tools,,324586634,,
python313Packages.cornice,,324586660,,
python313Packages.cx-freeze,324587042,,,
python313Packages.dask-gateway-server,324587213,,,
python313Packages.dask-gateway,324587211,,,
python313Packages.dask-ml,324587233,,,
python313Packages.dask-mpi,,324587232,,
python313Packages.databricks-sdk,,,324587300,324587291
python313Packages.dazl,,324587397,,
python313Packages.dbus-fast,,,324587466,
python313Packages.dedupe-pylbfgs,324587567,,,
python313Packages.deepwave,324587635,,,
python313Packages.disnake,324587965,,,
python313Packages.django-silk,,324588714,,
python313Packages.djangorestframework-stubs,324588903,324588907,324588905,324588898
python313Packages.docling-core,,324589019,,
python313Packages.docstr-coverage,,324589044,,
python313Packages.donut-shellcode,,324589116,,
python313Packages.dramatiq-abort,324589219,,,
python313Packages.ds-store,,324589310,,
python313Packages.dscribe,324589338,324589331,,
python313Packages.duct-py,324589377,,,
python313Packages.epitran,,324589973,,
python313Packages.es-client,324589989,324589987,324589986,324589991
python313Packages.escapism,324589990,324589985,324589988,324589984
python313Packages.esig,324589998,,,
python313Packages.etelemetry,,,324590057,324590051
python313Packages.exiv2,,324590218,,
python313Packages.faraday-agent-parameters-types,324590389,324590390,324590387,324590388
python313Packages.git-dummy,,,,324592043
python313Packages.githubkit,324592094,,,
python313Packages.glean-sdk,324592143,,,
python313Packages.graph-tool,,,324592681,324592679
python313Packages.graphite-web,324592711,,,
python313Packages.hdbscan,324593218,,,
python313Packages.hdf5plugin,324593221,,,
python313Packages.hebg,324593257,,,
python313Packages.hepunits,324593281,324593279,,
python313Packages.hyper-connections,324594034,,,
python313Packages.ibmiotf,,324593901,,
python313Packages.ics,324593955,324593950,,
python313Packages.imbalanced-learn,,324594098,,
python313Packages.item-synchronizer,,324594652,,
python313Packages.jaxopt,324594804,324594816,,
python313Packages.jeepney,,,324594835,324594833
python313Packages.johnnycanencrypt,324594936,324594938,,
python313Packages.jupyterlab-execute-time,324595336,,,
python313Packages.jupyterlab-git,324595342,,,
python313Packages.kalshi-python,324595446,,,
python313Packages.kanidm,324595454,,,
python313Packages.kfactory,324596007,,,
python313Packages.kopf,324595708,,,
python313Packages.labelbox,324595768,,,
python313Packages.leanblueprint,324596106,324596115,,
python313Packages.libarcus,324596203,324596198,,
python313Packages.libbs,324596205,324596204,,
python313Packages.lightgbm,,324596462,,
python313Packages.line-profiler,324596525,324596524,,
python313Packages.linearmodels,,324596527,,
python313Packages.mcdreforged,,324597637,,
python313Packages.mdtraj,324597811,,,
python313Packages.meraki,324597829,,,
python313Packages.meshtastic,,324597925,,
python313Packages.mim-solvers,324598086,,,
python313Packages.mkdocs-simple-blog,324598343,,,
python313Packages.mlrose,324598385,324598387,,
python313Packages.mlxtend,,324598401,,
python313Packages.momepy,324598549,324598553,,324598576
python313Packages.monosat,,324598596,,
python313Packages.mpv,,,324598864,324598760
python313Packages.mrsqm,324598777,,,
python313Packages.msprime,324598861,324598852,,
python313Packages.multiscale-spatial-image,324598917,324598916,,
python313Packages.nglview,324600929,,,
python313Packages.nitime,324601024,,,
python313Packages.oca-port,,324601439,,
python313Packages.odc-loader,324601508,324601474,,
python313Packages.oletools,324601563,,,
python313Packages.ome-zarr,324601566,324601565,,324601567
python313Packages.openbabel,,324601790,,
python313Packages.opentelemetry-instrumentation-botocore,324601970,,,
python313Packages.pandera,324602526,324602763,,324602505
python313Packages.pglive,324603090,324603087,,
python313Packages.plux,,324603584,,
python313Packages.podcats,324603647,,,
python313Packages.prometheus-flask-exporter,324604005,,,
python313Packages.proton-client,,324604082,,
python313Packages.psycopg2cffi,,324604188,,
python313Packages.pvlib,324604311,324604309,,
python313Packages.pyamg,324604675,,,
python313Packages.pycm,,324605003,,
python313Packages.pygitguardian,324605754,,,324605750
python313Packages.pygsl,324605841,,,
python313Packages.pyinsteon,324606009,324606007,,
python313Packages.pykdtree,,324606131,,
python313Packages.pylint-django,324606312,,,
python313Packages.pymanopt,324606626,324606797,,324606437
python313Packages.pynest2d,,324606729,,
python313Packages.pyquaternion,324607302,324607295,,
python313Packages.pyslurm,,324607746,,
python313Packages.pytask,324608035,,,
python313Packages.pytenable,324608066,324608062,324608101,324608082
python313Packages.pytest-asyncio-cooperative,324608105,324608111,,
python313Packages.pytest-flake8,324608245,324608241,,
python313Packages.pytest-md-report,324608406,,,
python313Packages.pytest-notebook,324608447,,,
python313Packages.pytest-pylint,324608450,324608443,,
python313Packages.python-datemath,324608825,,,
python313Packages.python-lsp-server,,,324609122,
python313Packages.python-prctl,,324609341,,
python313Packages.python-tds,,324609459,,
python313Packages.pytorch-pfn-extras,324609735,,,
python313Packages.qutip,324610426,,,
python313Packages.rtfunicode,324611497,,,
python313Packages.salmon-mail,324611687,,,
python313Packages.scalar-fastapi,324611783,,,
python313Packages.schedula,324611802,324611800,,
python313Packages.schema-salad,,,324611815,
python313Packages.scikit-rf,324611887,,,
python313Packages.scikits-odes-daepack,324611906,,,
python313Packages.sdds,324612016,,,
python313Packages.segyio,,324612100,,
python313Packages.shiv,324612408,,,
python313Packages.simple-salesforce,,324612522,,
python313Packages.skytemple-files,324612721,324612727,,
python313Packages.slh-dsa,324612756,,,
python313Packages.snowflake-connector-python,324612971,324612974,,324612970
python313Packages.sourmash,,324613138,,
python313Packages.spatialmath-python,324613199,324613198,,
python313Packages.spherogram,324613250,324613248,,
python313Packages.sphinx-book-theme,324613296,324613295,,
python313Packages.sphinxcontrib-bibtex,324614194,324613467,,
python313Packages.spyder-kernels,324613652,324613650,,
python313Packages.sseclient-py,324613848,324613844,,
python313Packages.symfc,324614542,324614546,,
python313Packages.tbats,324614737,,,
python313Packages.tensorflow-datasets,324614981,,,
python313Packages.timm,,324615308,,
python313Packages.tinyio,,,324615342,
python313Packages.tritonclient,,324616967,,
python313Packages.tsplib95,324617025,324617026,,
python313Packages.tt-flash,,324617036,,
python313Packages.typesense,324618914,,,
python313Packages.unsloth-zoo,324619475,324619405,,
python313Packages.viser,,324619727,,
python313Packages.warp-lang,324619959,,,
python313Packages.xdis,324620551,,,
python314Packages.adb-enhanced,324621367,,,
python314Packages.aerosandbox,,324621432,,
python314Packages.aiokef,,324621881,,
python314Packages.aioopenssl,324621984,324621985,,
python314Packages.aiorpcx,324622081,,,
python314Packages.aiosasl,,324622120,,
python314Packages.aiotarfile,,324622205,,
python314Packages.amazon-ion,,324622501,,
python314Packages.angr,324622577,324622559,,
python314Packages.aocd,324622725,,,
python314Packages.apipkg,,324622752,,
python314Packages.arch,324622906,,,
python314Packages.aspy-refactor-imports,324623138,,,
python314Packages.async-cache,324623222,324623219,,
python314Packages.asyncua,324623331,324623333,,
python314Packages.attrs-strict,324623390,324623391,,
python314Packages.autopxd2,,324623514,,
python314Packages.base64io,324624363,324624357,,
python314Packages.bayespy,,324624403,,
python314Packages.biopandas,324624707,324624706,,
python314Packages.bitcoinrpc,,324624734,,
python314Packages.boiboite-opener-framework,324624933,324624935,,
python314Packages.borb,324624996,324624997,,
python314Packages.braintree,,324625072,,
python314Packages.brian2,324625109,324625126,,
python314Packages.bson,324625170,324625168,,
python314Packages.celery-types,324625551,,,
python314Packages.cement,324625556,,,
python314Packages.censys,324625563,,,
python314Packages.cert-chain-resolver,,324625577,,
python314Packages.certbot-nginx,324625608,,,
python314Packages.circus,,324625818,,
python314Packages.cirq-core,324625833,324625834,324625835,324625830
python314Packages.clickhouse-cityhash,324626021,324626016,,
python314Packages.cometx,324626426,324626424,,
python314Packages.confection,324626545,324626539,324626538,324626544
python314Packages.connect-box,,324626586,,
python314Packages.cornice,324626741,324626738,,
python314Packages.cx-freeze,324627115,,,
python314Packages.dask-mpi,,324627305,,
python314Packages.databricks-sdk,,,324627363,324627366
python314Packages.datashape,324627418,324627416,,
python314Packages.dazl,324627470,,,
python314Packages.dbt-common,324627489,,324627491,324627488
python314Packages.dbt-semantic-interfaces,324627515,,,
python314Packages.dbus-fast,,,324627530,
python314Packages.deal-solver,324627575,,,
python314Packages.dedupe-pylbfgs,324627635,324627634,,
python314Packages.deepwave,324627834,,,
python314Packages.diceware,324627877,,,
python314Packages.diofant,,324627955,,
python314Packages.django-cacheops,324628298,324628297,,
python314Packages.django-cryptography,324628369,324628367,,
python314Packages.django-scheduler,324628740,,,
python314Packages.djangorestframework-stubs,324628946,324628951,324628945,324628949
python314Packages.docling-core,,324629055,,
python314Packages.draccus,324629233,,,
python314Packages.ds-store,,324629354,,
python314Packages.dscribe,,324629398,,
python314Packages.elastic-apm,324629944,,,
python314Packages.eliot,324629795,324629799,,
