name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
mediagoblin,,,,329225806
mediasynclite,,,328477557,328477558
meshcentral,,328951514,,
meshtasticd,329142831,329142832,,
metadata,328951512,328951513,328477905,328477895
metapixel,,,328477926,328477935
micronucleus,,,328478071,328478068
micropython,,,328478090,
migrate,328478144,328478122,,
minc_tools,328912255,328912254,,
mini-httpd,328478246,328478237,,
minitube,329142864,329142875,,
mir,329225850,,,
misskey,,,329088010,
mlflow-server,329225866,329225872,,329225871
mlkit,,328478767,328478768,328478779
mlt,,,328985223,328985222
mlton20130715,328478822,,,
mlton20210117,,,,328478800
mobsql,,,328738483,328738480
mono_repo,329143119,329143126,,
monotone,,,328479201,328479220
moon,328479237,328479234,328479249,328479229
moosefs,,,328738612,328738607
mosml,,,328479518,328479555
motoc,,,328479551,328479544
mpich-pmix,,,328479768,328479774
mpich,,,328479763,328479759
mplayer,,,,328479775
mrpack-install,,,328738989,328738990
msieve,,,,328480199
mspds,328480255,328480239,328480240,328480254
mucommander,,,328985294,328985298
mudlet,328974051,328974062,,
multipart-parser-c,,,328480412,328480407
mup,328851771,328851765,,
mysql-shell-innovation,,,329143228,329143229
mysql-shell,,,329143223,329143224
mysql-shell_8,,,329143234,329143232
mysql-shell_9,,,329143237,329143231
mystmd,,,329088091,329088090
nagiosPlugins.check_interfaces,328480827,328480821,328480824,328480835
naja,,,328480879,328480878
nanobench,,,328480935,328480955
nbd,,,328739344,328739331
ndstool,,,,328481253
netcdf,,,328912503,328912501
netfoil,,,328739572,328739559
netperf,,,328481928,328481905
